filename,0,1,2,3,4,5,6,7,8,9
datetime,2025-08-01-03-28-29,2025-08-01-03-28-31,2025-08-01-03-28-33,2025-08-01-03-28-35,2025-08-01-03-28-37,2025-08-01-03-28-39,2025-08-01-03-28-41,2025-08-01-03-28-43,2025-08-01-03-28-45,2025-08-01-03-28-47
device_name,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302
time_elapsed,5570.296971591,5376.721924736,5245.012051926,5451.581915269,5650.383065932,5451.629951334,5575.081857013,5563.962934735,5364.396946100,5813.338940918
tma_backend_bound,20.7,19.2,20.8,20.0,20.5,20.7,20.2,18.0,20.2,20.6
tma_bad_speculation,5.9,5.7,5.9,5.8,5.9,5.7,5.6,5.7,5.8,5.7
tma_frontend_bound,45.9,47.1,46.3,46.9,46.5,46.3,46.9,47.8,47.0,46.5
tma_retiring,27.5,28.0,27.0,27.3,27.1,27.3,27.3,28.5,27.1,27.2
total_uops,"19,492,597,825,998","19,108,226,274,648","19,381,360,747,972","19,254,407,188,281","19,448,300,936,733","19,373,615,860,860","19,205,809,045,102","19,529,297,210,175","19,429,120,336,542","19,222,027,785,800"
