filename,0,1,2,3,4,5,6,7,8,9
datetime,2025-07-31-22-26-35,2025-07-31-22-26-37,2025-07-31-22-26-39,2025-07-31-22-26-41,2025-07-31-22-26-43,2025-07-31-22-26-45,2025-07-31-22-26-47,2025-07-31-22-26-49,2025-07-31-22-26-51,2025-07-31-22-26-53
device_name,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302
time_elapsed,1849.356947584,1511.315976409,1655.150003619,1641.457991918,1905.666972214,1901.384028458,2010.650955505,1546.680928853,1799.785001675,1808.946941022
tma_backend_bound,25.3,22.5,22.3,22.6,22.7,22.2,23.2,22.7,24.7,22.7
tma_bad_speculation,6.6,6.6,6.6,6.4,6.4,6.6,6.5,6.7,6.4,6.5
tma_frontend_bound,42.8,44.6,44.8,44.7,44.7,45.0,44.2,44.1,43.5,44.4
tma_retiring,25.3,26.3,26.4,26.3,26.3,26.2,26.1,26.5,25.4,26.3
total_uops,"5,217,267,323,902","5,209,636,088,775","5,174,851,203,177","5,150,691,826,964","5,129,041,716,314","5,177,616,832,923","5,166,436,740,694","5,179,514,337,714","5,170,093,209,152","5,172,319,877,279"
