filename,0,1,2,3,4,5,6,7,8,9
datetime,2025-07-22-06-25-28,2025-07-22-06-25-30,2025-07-22-06-25-32,2025-07-22-06-25-34,2025-07-22-06-25-36,2025-07-22-06-25-38,2025-07-22-06-25-40,2025-07-22-06-25-42,2025-07-22-06-25-44,2025-07-22-06-25-46
device_name,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302
time_elapsed,909.526276879,906.557676084,910.111086592,906.429480563,908.065563090,907.019003299,907.520991748,910.567331359,908.562789947,909.068910717
tma_backend_bound,32.4,31.6,32.8,31.1,31.8,32.4,31.5,30.4,32.0,31.3
tma_bad_speculation,6.3,7.0,6.5,6.6,7.1,6.4,6.9,6.8,6.6,6.8
tma_frontend_bound,36.3,36.9,35.8,36.6,36.2,36.3,36.5,37.0,36.3,37.0
tma_retiring,25.0,24.6,24.9,25.7,24.9,24.8,25.1,25.7,25.0,24.9
total_uops,"5,823,085,923","5,845,102,073","5,902,392,872","6,203,471,284","5,842,932,937","5,816,856,749","5,870,124,292","5,961,076,102","5,830,951,625","5,859,676,820"
