filename,0,1,2,3,4,5,6,7,8,9
datetime,2025-07-30-16-43-10,2025-07-30-16-43-12,2025-07-30-16-43-14,2025-07-30-16-43-16,2025-07-30-16-43-18,2025-07-30-16-43-20,2025-07-30-16-43-22,2025-07-30-16-43-24,2025-07-30-16-43-26,2025-07-30-16-43-28
device_name,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302
time_elapsed,905.428240852,905.583189130,907.257692195,909.696350910,906.649598206,907.640087930,908.689750996,908.142171135,909.188305236,906.087057519
tma_backend_bound,30.7,31.9,32.2,31.2,32.8,31.6,31.8,31.4,30.6,31.5
tma_bad_speculation,6.5,6.7,6.6,6.7,6.7,6.7,6.6,6.6,7.0,6.8
tma_frontend_bound,37.2,36.6,36.0,37.2,35.8,36.7,36.3,36.9,36.9,36.9
tma_retiring,25.6,24.9,25.2,25.0,24.8,25.0,25.2,25.1,25.5,24.9
total_uops,"5,981,826,869","5,833,776,789","5,874,335,866","5,757,075,985","5,784,915,627","5,725,220,124","5,717,333,345","5,717,688,492","5,835,326,409","5,765,206,021"
