filename,0,1,2,3,4,5,6,7,8,9
datetime,2025-07-30-18-31-26,2025-07-30-18-31-28,2025-07-30-18-31-30,2025-07-30-18-31-32,2025-07-30-18-31-34,2025-07-30-18-31-36,2025-07-30-18-31-38,2025-07-30-18-31-40,2025-07-30-18-31-42,2025-07-30-18-31-44
device_name,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302
time_elapsed,5200.641406567,5299.168012976,5406.420332161,5173.719813460,5287.520653436,5350.117914321,5246.818440597,5300.188282781,5378.174518744,5371.523483548
tma_backend_bound,14.2,15.2,15.3,15.1,14.9,15.3,13.6,14.7,16.0,15.5
tma_bad_speculation,5.8,5.8,5.7,5.9,5.8,5.7,5.8,5.7,5.8,5.8
tma_frontend_bound,48.9,48.3,48.1,48.1,48.8,48.1,48.7,49.3,47.3,47.9
tma_retiring,31.2,30.7,30.9,31.0,30.5,30.8,31.9,30.3,30.8,30.8
total_uops,"21,797,389,705,871","21,868,125,153,689","21,791,364,986,685","21,862,253,514,974","21,856,754,147,262","21,807,183,037,028","21,705,468,975,540","21,833,002,692,187","21,830,131,873,929","21,834,630,175,693"
