filename,0,1,2,3,4,5,6,7,8,9
datetime,2025-07-31-19-54-51,2025-07-31-19-54-53,2025-07-31-19-54-55,2025-07-31-19-54-57,2025-07-31-19-54-59,2025-07-31-19-55-01,2025-07-31-19-55-03,2025-07-31-19-55-05,2025-07-31-19-55-07,2025-07-31-19-55-09
device_name,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302
time_elapsed,904.964217013,905.068514710,905.674728416,906.104367532,906.362462303,905.496115167,905.244037348,905.937075410,904.964260555,906.653575763
tma_backend_bound,27.4,24.9,26.2,25.5,27.6,28.9,26.7,23.7,26.9,28.6
tma_bad_speculation,8.5,8.7,8.0,9.0,8.6,7.7,7.7,9.6,7.9,8.8
tma_frontend_bound,43.8,43.1,44.2,42.9,43.4,42.4,44.7,42.5,44.5,38.2
tma_retiring,20.4,23.4,21.5,22.6,20.4,20.9,21.0,24.2,20.6,24.5
total_uops,"4,242,643,183","4,227,619,703","4,100,477,689","4,106,016,758","4,206,886,841","4,175,684,110","4,130,161,011","4,226,035,525","4,175,448,813","4,210,073,624"
