Metric,2025-07-10-18-18-40-turing302,2025-07-10-18-18-42-turing302,2025-07-10-18-18-44-turing302,2025-07-10-18-18-46-turing302,2025-07-10-18-18-48-turing302,2025-07-10-18-18-50-turing302,2025-07-10-18-18-52-turing302,2025-07-10-18-18-54-turing302,2025-07-10-18-18-56-turing302,2025-07-10-18-18-58-turing302
time_elapsed,5404.937161796,5423.909025216,5584.830533273,5500.993288339,5318.178345600,5516.984959820,5372.255678773,5405.054923278,5222.357272558,5551.480141040
tma_backend_bound,15.0,14.1,15.0,15.4,15.4,15.2,15.6,15.3,13.5,15.3
tma_bad_speculation,5.7,5.5,5.5,5.6,5.7,5.6,5.7,5.6,5.6,5.6
tma_frontend_bound,48.9,49.6,49.2,48.6,48.5,48.6,48.5,48.9,49.4,48.6
tma_retiring,30.3,30.8,30.3,30.4,30.4,30.6,30.2,30.2,31.4,30.5
total_uops,"22,055,754,609,298","21,904,833,816,647","21,971,321,756,666","22,021,407,824,335","22,060,088,628,423","22,050,805,131,044","22,071,313,677,901","22,095,081,490,628","21,960,924,511,971","22,058,293,729,419"
