filename,0,1,2,3,4,5,6,7,8,9
datetime,2025-07-22-07-06-32,2025-07-22-07-06-34,2025-07-22-07-06-36,2025-07-22-07-06-38,2025-07-22-07-06-40,2025-07-22-07-06-42,2025-07-22-07-06-44,2025-07-22-07-06-46,2025-07-22-07-06-48,2025-07-22-07-06-50
device_name,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302
time_elapsed,8379.381368149,8435.445349707,8037.295779164,8231.001648888,8259.116994610,8363.471228565,8480.324259323,8125.514617938,8186.252545003,8404.433326293
tma_backend_bound,15.4,15.0,13.9,13.5,15.0,15.7,15.8,14.5,15.0,15.3
tma_bad_speculation,5.2,5.2,5.3,5.3,5.3,6.1,5.3,5.5,5.3,5.2
tma_frontend_bound,46.3,46.8,47.0,47.2,47.3,46.4,46.3,46.8,47.1,46.6
tma_retiring,33.0,33.0,33.7,34.0,32.5,31.8,32.6,33.2,32.6,33.0
total_uops,"33,709,894,529,976","33,655,399,508,980","33,665,490,844,316","33,607,796,826,693","33,802,176,316,632","34,474,566,320,540","33,780,588,825,760","33,862,283,338,394","33,934,542,796,653","33,670,661,029,846"
