filename,0,1,2,3,4,5,6,7,8,9
datetime,2025-07-30-20-06-54,2025-07-30-20-06-56,2025-07-30-20-06-58,2025-07-30-20-07-00,2025-07-30-20-07-02,2025-07-30-20-07-04,2025-07-30-20-07-06,2025-07-30-20-07-08,2025-07-30-20-07-10,2025-07-30-20-07-12
device_name,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302
time_elapsed,4297.178671303,4363.448907021,4385.108680935,4388.605496965,4541.400184286,4518.688159745,4480.530152325,4415.729749428,4529.433534416,4557.954496556
tma_backend_bound,15.1,13.8,16.2,15.7,15.7,15.6,14.6,15.7,15.0,15.6
tma_bad_speculation,5.9,5.7,5.9,5.9,5.6,5.8,5.7,5.8,5.7,5.7
tma_frontend_bound,48.7,49.7,48.3,48.4,48.8,48.6,50.2,48.9,49.2,48.6
tma_retiring,30.3,30.9,29.7,30.0,29.9,30.0,29.5,29.6,30.1,30.0
total_uops,"17,824,208,492,044","17,663,847,888,682","17,846,218,110,327","17,829,437,323,650","17,734,269,405,750","17,777,072,629,904","17,781,814,654,495","17,809,133,059,320","17,708,142,613,282","17,765,553,698,447"
