filename,0,1,2,3,4,5,6,7,8,9
datetime,2025-07-31-20-27-15,2025-07-31-20-27-17,2025-07-31-20-27-19,2025-07-31-20-27-21,2025-07-31-20-27-23,2025-07-31-20-27-25,2025-07-31-20-27-27,2025-07-31-20-27-29,2025-07-31-20-27-31,2025-07-31-20-27-33
device_name,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302
time_elapsed,902.058811602,4250.021963633,903.568157771,902.367601042,902.152300874,902.059003106,903.057328666,903.265781773,902.556778345,902.817308926
tma_backend_bound,20.5,19.8,22.5,24.8,22.8,22.5,25.0,22.9,24.4,25.3
tma_bad_speculation,10.0,6.9,11.0,8.8,8.9,8.8,8.7,8.7,8.3,9.3
tma_frontend_bound,44.3,46.2,38.3,43.2,45.6,43.8,44.5,45.6,45.1,42.1
tma_retiring,25.3,27.1,28.3,23.1,22.7,24.9,21.8,22.8,22.2,23.3
total_uops,"4,037,232,301","7,755,194,188,532","3,968,740,426","4,065,559,169","4,077,787,436","3,986,161,847","4,119,433,075","3,991,763,304","4,149,646,679","4,027,431,463"
