filename,0,1,2,3,4,5,6,7,8,9
datetime,2025-08-02-21-30-52,2025-08-02-21-30-54,2025-08-02-21-30-56,2025-08-02-21-30-58,2025-08-02-21-31-00,2025-08-02-21-31-02,2025-08-02-21-31-04,2025-08-02-21-31-06,2025-08-02-21-31-08,2025-08-02-21-31-10
device_name,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302
time_elapsed,27460.114007743,28367.964019791,29205.681998901,27642.237789978,28086.068786229,28951.004934621,26652.509038323,26893.721004023,26824.793088777,29108.658908684
tma_backend_bound,21.8,23.6,23.8,20.2,23.6,23.3,21.0,20.4,21.5,23.0
tma_bad_speculation,6.1,6.0,6.0,6.1,6.1,6.0,6.3,6.2,6.2,6.0
tma_frontend_bound,46.6,45.6,45.5,47.1,45.7,45.9,47.0,47.2,46.8,46.1
tma_retiring,25.5,24.9,24.7,26.5,24.6,24.7,25.7,26.2,25.5,25.0
total_uops,"98,412,310,945,312","95,518,095,724,446","99,087,257,933,779","100,198,844,614,388","98,087,786,944,978","98,604,713,418,108","96,933,909,955,305","97,818,161,316,128","97,054,562,648,004","98,948,304,894,420"
