filename,0,1,2,3,4,5,6,7,8,9
datetime,2025-08-01-19-33-51,2025-08-01-19-33-53,2025-08-01-19-33-55,2025-08-01-19-33-57,2025-08-01-19-33-59,2025-08-01-19-34-01,2025-08-01-19-34-03,2025-08-01-19-34-05,2025-08-01-19-34-07,2025-08-01-19-34-09
device_name,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302
time_elapsed,56550.990499209,57360.376521040,57144.272534916,55082.258475616,56518.920539461,57371.914519929,54273.759523744,55870.238544652,57630.952553076,53839.219570430
tma_backend_bound,21.1,20.3,20.3,20.2,18.9,19.2,18.7,19.7,21.2,19.3
tma_bad_speculation,6.4,6.3,6.3,6.3,6.3,6.3,6.5,6.3,6.3,6.5
tma_frontend_bound,46.7,46.9,46.8,47.8,47.9,47.8,48.0,47.2,46.9,47.3
tma_retiring,25.8,26.5,26.5,25.8,27.0,26.8,26.8,26.7,25.6,26.8
total_uops,"208,030,107,776,428","207,841,485,398,758","208,448,556,557,764","202,231,911,468,134","208,071,431,858,850","208,610,205,329,761","205,999,209,745,637","203,750,320,997,679","210,097,700,415,272","204,640,982,268,768"
