filename,0,1,2,3,4,5,6,7,8,9
datetime,2025-07-21-22-48-25,2025-07-21-22-48-27,2025-07-21-22-48-29,2025-07-21-22-48-31,2025-07-21-22-48-33,2025-07-21-22-48-35,2025-07-21-22-48-37,2025-07-21-22-48-39,2025-07-21-22-48-41,2025-07-21-22-48-43
device_name,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302
time_elapsed,12970.762058474,12651.135468231,12944.096887519,12327.589570724,12849.190227403,12976.352696695,12822.473950385,12370.661662861,12814.937877578,12407.092347422
tma_backend_bound,16.9,17.3,16.8,15.0,16.3,17.0,15.7,15.1,16.8,15.4
tma_bad_speculation,3.8,4.0,3.9,4.0,3.8,3.8,3.7,4.0,4.0,4.0
tma_frontend_bound,48.1,47.9,48.0,49.3,48.5,48.1,49.1,49.1,48.8,48.9
tma_retiring,31.1,30.9,31.3,31.7,31.4,31.2,31.5,31.7,30.3,31.7
total_uops,"51,020,739,594,323","51,289,973,054,828","51,085,887,668,696","51,132,046,868,736","51,012,982,033,422","51,009,295,083,371","50,857,888,581,451","51,202,431,150,013","51,422,353,121,264","51,193,897,937,020"
