Metric,2025-07-10-02-29-40-turing301,2025-07-10-02-29-42-turing301,2025-07-10-02-29-44-turing301,2025-07-10-02-29-46-turing301,2025-07-10-02-29-48-turing301,2025-07-10-02-29-50-turing301,2025-07-10-02-29-52-turing301,2025-07-10-02-29-54-turing301,2025-07-10-02-29-56-turing301,2025-07-10-02-29-58-turing301
time_elapsed,5005.538569925,4919.386535359,4954.256271134,4722.646620834,5024.582071663,4874.141742882,5023.834148045,4853.915597799,4768.748521843,4849.804456173
tma_backend_bound,14.1,14.6,14.7,13.2,14.5,14.4,14.8,14.0,13.7,14.3
tma_bad_speculation,5.1,5.2,5.2,5.3,5.2,5.3,5.2,5.2,5.3,5.2
tma_frontend_bound,52.2,51.3,51.3,52.1,51.6,51.6,51.4,52.4,52.1,51.9
tma_retiring,28.6,28.8,28.7,29.5,28.7,28.6,28.6,28.4,28.8,28.5
total_uops,"18,610,804,966,495","18,630,161,251,642","18,646,947,587,094","18,582,878,133,980","18,634,238,774,463","18,704,266,013,214","18,667,964,975,962","18,638,508,435,425","18,670,108,162,412","18,655,499,610,954"
