filename,0,1,2,3,4,5,6,7,8,9
datetime,2025-07-22-02-30-03,2025-07-22-02-30-05,2025-07-22-02-30-07,2025-07-22-02-30-09,2025-07-22-02-30-11,2025-07-22-02-30-13,2025-07-22-02-30-15,2025-07-22-02-30-17,2025-07-22-02-30-19,2025-07-22-02-30-21
device_name,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302
time_elapsed,12518.255365978,12229.588169781,12067.847692844,12184.846140023,12109.840191256,12505.244241589,11860.921238542,12113.877581930,12013.160552104,12194.044879892
tma_backend_bound,17.8,15.3,17.6,17.5,17.6,17.8,15.6,16.0,16.7,16.4
tma_bad_speculation,3.7,3.7,3.9,3.9,4.0,3.8,3.9,3.8,3.9,3.8
tma_frontend_bound,47.4,49.2,47.3,47.9,47.4,47.3,48.8,48.3,48.0,48.0
tma_retiring,31.1,31.7,31.2,30.7,31.0,31.0,31.7,31.9,31.4,31.8
total_uops,"49,051,539,999,501","48,834,739,196,404","49,209,796,438,567","49,237,218,347,135","49,296,458,923,048","49,080,637,325,860","49,064,888,852,804","48,987,220,111,889","49,196,770,502,764","48,989,986,153,668"
