filename,0,1,2,3,4,5,6,7,8,9
datetime,2025-07-30-17-10-43,2025-07-30-17-10-45,2025-07-30-17-10-47,2025-07-30-17-10-49,2025-07-30-17-10-51,2025-07-30-17-10-53,2025-07-30-17-10-55,2025-07-30-17-10-57,2025-07-30-17-10-59,2025-07-30-17-11-01
device_name,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302
time_elapsed,4314.399651820,4271.785008138,4416.888531198,4468.385343755,4346.692529229,4280.836651695,4314.698090088,4421.524733798,4508.794273731,4362.255826826
tma_backend_bound,16.0,13.7,15.9,16.4,15.2,15.9,16.2,15.9,16.2,16.4
tma_bad_speculation,5.9,5.7,5.8,5.8,5.7,5.9,5.8,5.7,5.6,5.8
tma_frontend_bound,48.6,50.2,49.4,48.4,49.0,48.7,48.8,48.8,49.4,48.5
tma_retiring,29.6,30.5,29.0,29.4,30.1,29.5,29.2,29.5,28.8,29.3
total_uops,"14,882,226,327,251","14,864,392,592,656","14,898,805,484,109","14,856,815,173,268","14,795,377,000,909","14,888,421,221,679","14,904,753,123,997","14,836,513,223,518","14,845,124,168,262","14,899,316,092,881"
