filename,0,1,2,3,4,5,6,7,8,9
datetime,2025-08-01-01-34-07,2025-08-01-01-34-09,2025-08-01-01-34-11,2025-08-01-01-34-13,2025-08-01-01-34-15,2025-08-01-01-34-17,2025-08-01-01-34-19,2025-08-01-01-34-21,2025-08-01-01-34-23,2025-08-01-01-34-25
device_name,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302
time_elapsed,6538.330046226,6243.475985059,6532.435836400,6135.940904049,6388.891973690,6459.895786417,6004.744855910,6425.689821264,6476.896982648,6180.680817834
tma_backend_bound,20.0,19.8,17.7,19.6,20.0,19.4,19.9,19.1,19.6,18.1
tma_bad_speculation,5.6,5.7,5.7,5.8,5.8,5.7,5.8,5.8,6.5,5.8
tma_frontend_bound,46.5,46.7,48.7,46.8,46.5,46.8,46.6,47.0,46.8,47.3
tma_retiring,27.8,27.8,27.9,27.8,27.8,28.1,27.7,28.1,27.1,28.8
total_uops,"22,623,815,147,233","22,678,351,804,815","22,978,140,186,304","22,839,040,131,886","22,871,657,741,700","22,991,803,554,715","22,651,018,552,818","22,941,794,841,767","23,255,519,790,752","22,514,812,131,327"
