Metric,2025-07-09-05-49-57-turing301,2025-07-09-05-49-59-turing301,2025-07-09-05-50-01-turing301,2025-07-09-05-50-03-turing301,2025-07-09-05-50-05-turing301,2025-07-09-05-50-07-turing301,2025-07-09-05-50-09-turing301,2025-07-09-05-50-11-turing301,2025-07-09-05-50-13-turing301,2025-07-09-05-50-15-turing301,2025-07-09-23-09-35-turing302,2025-07-09-23-09-37-turing302,2025-07-09-23-09-39-turing302,2025-07-09-23-09-41-turing302,2025-07-09-23-09-43-turing302,2025-07-09-23-09-45-turing302,2025-07-09-23-09-47-turing302,2025-07-09-23-09-49-turing302,2025-07-09-23-09-51-turing302,2025-07-09-23-09-53-turing302
time_elapsed,,,,,,,,,,,29808.442249153,30561.387164784,30438.475035992,30755.191253476,29728.763962276,30959.161294012,30742.771523883,29347.224981852,29634.212684823,29613.639343136
tma_backend_bound,,,,,,,,,,,18.3,18.6,18.4,19.0,17.9,18.6,19.6,18.2,19.5,19.1
tma_bad_speculation,,,,,,,,,,,4.5,4.3,4.3,4.3,4.5,4.2,4.3,4.5,4.5,4.5
tma_frontend_bound,,,,,,,,,,,46.7,46.3,46.4,46.2,46.9,46.9,45.4,46.3,45.3,45.7
tma_retiring,,,,,,,,,,,30.5,30.7,30.8,30.5,30.6,30.3,30.6,31.0,30.6,30.7
total_uops,,,,,,,,,,,"121,353,397,842,403","120,778,978,666,985","120,716,055,805,354","120,667,651,063,453","121,382,929,755,690","120,668,684,401,944","120,908,656,915,715","121,199,099,653,099","121,376,276,409,538","121,125,825,840,571"
