filename,0,1,2,3,4,5,6,7,8,9
datetime,2025-07-31-17-29-23,2025-07-31-17-29-25,2025-07-31-17-29-27,2025-07-31-17-29-29,2025-07-31-17-29-31,2025-07-31-17-29-33,2025-07-31-17-29-35,2025-07-31-17-29-37,2025-07-31-17-29-39,2025-07-31-17-29-41
device_name,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302
time_elapsed,905.617120066,904.658790690,906.727817475,905.360989793,906.072533243,906.534313940,905.813063580,906.325975523,904.576732048,904.576638876
tma_backend_bound,27.0,27.6,28.0,26.8,27.6,26.9,27.0,27.4,26.4,26.9
tma_bad_speculation,8.2,7.8,8.0,8.4,8.3,8.1,8.6,7.9,7.8,8.1
tma_frontend_bound,44.3,43.9,43.4,44.1,43.6,44.1,43.9,43.5,44.4,44.4
tma_retiring,20.5,20.7,20.6,20.7,20.6,20.9,20.6,21.2,21.4,20.6
total_uops,"4,131,143,427","4,144,239,686","4,096,579,338","4,191,451,272","4,128,189,266","4,174,545,293","4,141,423,934","4,191,115,770","4,262,083,548","4,121,593,264"
