filename,0,1,2,3,4,5,6,7,8,9
datetime,2025-07-31-19-13-53,2025-07-31-19-13-55,2025-07-31-19-13-57,2025-07-31-19-13-59,2025-07-31-19-14-01,2025-07-31-19-14-03,2025-07-31-19-14-05,2025-07-31-19-14-07,2025-07-31-19-14-09,2025-07-31-19-14-11
device_name,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302
time_elapsed,905.435168000,905.435071511,906.142722382,905.696601073,907.222014693,907.417059450,905.519542427,905.978219686,906.651477876,906.411383799
tma_backend_bound,28.3,25.9,23.3,22.6,27.7,27.5,27.7,26.5,28.0,27.6
tma_bad_speculation,8.2,8.5,10.1,9.6,8.0,8.4,7.8,8.1,8.3,7.8
tma_frontend_bound,42.7,44.7,41.9,43.4,43.5,43.6,44.2,43.3,42.1,43.7
tma_retiring,20.8,20.8,24.7,24.4,20.8,20.5,20.3,22.1,21.6,20.9
total_uops,"4,317,380,477","4,251,230,736","4,115,314,282","4,098,872,532","4,220,485,677","4,274,487,439","4,144,485,144","4,289,021,874","4,256,159,173","4,180,702,169"
