Metric,2025-07-09-14-21-23-turing301,2025-07-09-14-21-25-turing301,2025-07-09-14-21-27-turing301,2025-07-09-14-21-29-turing301,2025-07-09-14-21-31-turing301,2025-07-09-14-21-33-turing301,2025-07-09-14-21-35-turing301,2025-07-09-14-21-37-turing301,2025-07-09-14-21-39-turing301,2025-07-09-14-21-41-turing301
time_elapsed,28301.956589446,29121.621459612,28557.662602998,28341.612030276,28857.258906069,28909.662584230,28168.482581178,28418.956016819,28191.606160244,28752.480269455
tma_backend_bound,20.6,19.9,19.9,21.1,20.0,20.6,21.0,20.1,20.4,19.6
tma_bad_speculation,4.5,4.5,4.5,4.6,4.4,4.4,4.6,4.6,4.7,4.4
tma_frontend_bound,43.8,44.5,43.9,43.3,44.2,43.7,43.3,44.5,43.8,44.5
tma_retiring,31.0,31.1,31.7,31.0,31.4,31.3,31.1,30.8,31.2,31.4
total_uops,"117,070,741,215,396","116,790,975,503,320","116,614,361,961,631","117,243,940,900,419","116,693,024,964,158","116,708,067,111,982","117,236,979,125,645","117,243,876,773,808","117,357,361,748,417","116,632,583,184,055"
