Metric,2025-07-10-16-12-45-turing302,2025-07-10-16-12-47-turing302,2025-07-10-16-12-49-turing302,2025-07-10-16-12-51-turing302,2025-07-10-16-12-53-turing302,2025-07-10-16-12-55-turing302,2025-07-10-16-12-57-turing302,2025-07-10-16-12-59-turing302,2025-07-10-16-13-01-turing302,2025-07-10-16-13-03-turing302
time_elapsed,7135.117509167,6905.619355644,6945.004073731,7078.084617201,7032.004105736,6997.404403309,7083.358129385,7051.482246327,7005.833145608,7233.681268755
tma_backend_bound,14.8,14.7,13.2,14.7,15.0,14.2,14.8,14.7,13.0,14.7
tma_bad_speculation,5.6,5.7,5.5,5.6,5.7,5.5,5.6,5.7,5.5,5.6
tma_frontend_bound,48.4,48.5,49.9,48.9,48.3,48.7,48.7,48.7,49.4,48.7
tma_retiring,31.2,31.1,31.4,30.9,31.1,31.5,31.0,30.8,32.1,31.0
total_uops,"26,932,380,942,746","26,442,039,274,465","26,860,686,207,480","26,372,434,345,361","27,021,463,282,907","26,246,427,637,298","26,989,728,349,591","27,143,943,659,618","26,777,829,315,373","26,977,690,885,950"
