filename,0,1,2,3,4,5,6,7,8,9
datetime,2025-07-31-23-05-29,2025-07-31-23-05-31,2025-07-31-23-05-33,2025-07-31-23-05-35,2025-07-31-23-05-37,2025-07-31-23-05-39,2025-07-31-23-05-41,2025-07-31-23-05-43,2025-07-31-23-05-45,2025-07-31-23-05-47
device_name,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302
time_elapsed,8268.349907691,8008.174936069,8594.946955117,7880.580997602,8034.014983414,8248.401006161,8412.937104629,8402.354096630,8141.039065769,8543.585894746
tma_backend_bound,19.4,18.9,20.5,19.9,20.6,18.9,20.0,20.8,17.7,20.6
tma_bad_speculation,6.0,5.9,5.9,6.1,6.1,6.0,6.0,5.9,6.0,5.9
tma_frontend_bound,47.1,46.5,45.8,46.0,45.8,46.9,46.5,45.5,47.1,45.9
tma_retiring,27.5,28.7,27.8,28.0,27.6,28.2,27.5,27.7,29.1,27.6
total_uops,"30,362,156,550,536","29,955,095,975,747","30,102,706,798,926","30,172,821,866,720","30,594,118,299,392","30,731,822,766,100","30,354,149,118,788","30,495,530,916,864","30,554,873,971,626","30,113,606,346,664"
