filename,0,1,2,3,4,5,6,7,8,9
datetime,2025-07-22-06-46-01,2025-07-22-06-46-03,2025-07-22-06-46-05,2025-07-22-06-46-07,2025-07-22-06-46-09,2025-07-22-06-46-11,2025-07-22-06-46-13,2025-07-22-06-46-15,2025-07-22-06-46-17,2025-07-22-06-46-19
device_name,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302
time_elapsed,907.360771474,905.886763250,909.379631280,907.863442739,906.863296607,908.928829290,906.321201322,909.868210853,908.394837524,905.692010071
tma_backend_bound,31.5,30.5,32.9,31.2,31.6,31.8,31.8,32.1,30.4,31.9
tma_bad_speculation,6.6,7.2,5.9,7.1,6.6,6.8,6.8,6.5,7.9,6.6
tma_frontend_bound,36.5,34.3,35.9,36.4,36.6,36.0,36.4,36.4,33.1,36.4
tma_retiring,25.3,28.0,25.3,25.2,25.2,25.4,25.1,25.0,28.6,25.1
total_uops,"5,820,359,785","5,820,913,612","5,755,595,150","5,900,825,304","5,833,631,656","5,897,659,833","5,777,172,342","5,847,966,716","5,890,680,254","5,923,698,090"
