Metric,2025-07-09-05-49-57-turing301,2025-07-09-05-49-59-turing301,2025-07-09-05-50-01-turing301,2025-07-09-05-50-03-turing301,2025-07-09-05-50-05-turing301,2025-07-09-05-50-07-turing301,2025-07-09-05-50-09-turing301,2025-07-09-05-50-11-turing301,2025-07-09-05-50-13-turing301,2025-07-09-05-50-15-turing301
time_elapsed,30054.522343883,29448.647938232,28946.269573458,29430.735071967,29728.040963967,29780.577346170,30363.630740367,29898.227899744,29640.644444114,29381.368266817
tma_backend_bound,19.9,19.9,19.1,20.1,19.4,19.3,19.9,19.6,20.8,20.1
tma_bad_speculation,4.5,4.7,4.7,4.7,4.5,4.5,4.4,4.5,4.6,4.7
tma_frontend_bound,44.3,44.4,44.7,44.3,44.5,44.7,44.8,44.4,44.0,44.2
tma_retiring,31.3,31.0,31.5,30.9,31.6,31.5,30.8,31.5,30.7,31.0
total_uops,"121,115,884,849,181","121,900,599,377,350","121,720,238,677,509","121,821,705,564,673","121,030,957,958,821","121,036,358,956,240","121,031,274,500,130","121,071,505,224,484","121,798,141,511,161","121,824,559,411,426"
