filename,0,1,2,3,4,5,6,7,8,9
datetime,2025-07-31-18-53-25,2025-07-31-18-53-27,2025-07-31-18-53-29,2025-07-31-18-53-31,2025-07-31-18-53-33,2025-07-31-18-53-35,2025-07-31-18-53-37,2025-07-31-18-53-39,2025-07-31-18-53-41,2025-07-31-18-53-43
device_name,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302
time_elapsed,905.744340847,904.843117212,904.922228782,905.088682573,905.350374134,904.843119885,906.214802118,905.532994870,905.968238089,906.518158189
tma_backend_bound,26.8,25.1,21.3,27.7,28.1,23.2,28.0,25.1,27.6,29.6
tma_bad_speculation,7.8,9.3,9.9,7.9,8.2,8.9,8.0,10.2,8.5,7.4
tma_frontend_bound,43.2,41.4,42.8,42.7,42.8,44.3,43.7,39.7,42.1,42.7
tma_retiring,22.1,24.2,25.9,21.7,20.9,23.7,20.3,24.9,21.9,20.3
total_uops,"4,153,701,424","4,309,084,193","4,207,585,263","4,119,806,165","4,339,555,985","4,011,909,062","4,134,134,301","4,098,399,046","4,242,075,434","4,311,427,010"
