filename,0,1,2,3,4,5,6,7,8,9
datetime,2025-07-22-06-04-03,2025-07-22-06-04-05,2025-07-22-06-04-07,2025-07-22-06-04-09,2025-07-22-06-04-11,2025-07-22-06-04-13,2025-07-22-06-04-15,2025-07-22-06-04-17,2025-07-22-06-04-19,2025-07-22-06-04-21
device_name,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302
time_elapsed,959.652859583,961.459532719,961.960264944,959.147287128,962.962869085,958.818194488,962.512227919,963.501372404,958.818967250,960.958204497
tma_backend_bound,31.3,32.9,32.2,30.9,32.5,32.5,31.5,30.5,28.5,32.0
tma_bad_speculation,6.7,6.5,6.5,7.1,6.2,6.5,6.4,6.7,6.1,6.4
tma_frontend_bound,37.4,36.2,36.9,37.3,36.9,36.7,37.4,37.5,45.3,36.6
tma_retiring,24.6,24.4,24.3,24.7,24.4,24.3,24.7,25.3,20.1,24.9
total_uops,"5,890,679,675","5,802,582,511","5,847,793,638","5,964,647,044","5,791,857,375","5,956,229,798","5,893,035,245","6,211,945,016","5,857,228,208","5,859,426,474"
