Metric,2025-07-10-07-50-56-turing302,2025-07-10-07-50-58-turing302,2025-07-10-07-51-00-turing302,2025-07-10-07-51-02-turing302,2025-07-10-07-51-04-turing302,2025-07-10-07-51-06-turing302,2025-07-10-07-51-08-turing302,2025-07-10-07-51-10-turing302,2025-07-10-07-51-12-turing302,2025-07-10-07-51-14-turing302
time_elapsed,29184.679126257,29148.844975040,29468.378999618,29787.422874791,29196.495605832,28581.736419622,29680.852535592,28727.269781923,29031.020527150,28717.968805467
tma_backend_bound,19.0,18.8,19.5,19.7,18.8,19.0,20.3,19.4,18.6,18.8
tma_bad_speculation,4.4,4.3,4.3,4.2,4.3,4.4,4.3,4.4,4.4,4.4
tma_frontend_bound,46.5,46.0,45.5,45.8,45.9,45.9,45.0,45.6,46.9,46.2
tma_retiring,30.0,31.0,30.8,30.3,31.0,30.6,30.5,30.5,30.2,30.6
total_uops,"117,105,426,453,451","116,194,401,411,182","116,256,353,857,294","116,285,426,874,461","116,183,826,545,123","116,665,047,048,286","116,391,996,630,688","116,755,491,443,038","116,769,210,822,632","116,795,220,179,134"
