Metric,2025-07-10-19-57-07-turing302,2025-07-10-19-57-09-turing302,2025-07-10-19-57-11-turing302,2025-07-10-19-57-13-turing302,2025-07-10-19-57-15-turing302,2025-07-10-19-57-17-turing302,2025-07-10-19-57-19-turing302,2025-07-10-19-57-21-turing302,2025-07-10-19-57-23-turing302,2025-07-10-19-57-25-turing302
time_elapsed,4645.871408359,4762.201229946,4481.362355052,4596.243950201,4765.530350102,4818.204169773,4585.913765404,4572.960673731,4742.651117860,4769.574178726
tma_backend_bound,15.4,15.7,14.1,14.9,15.7,15.3,15.7,15.7,15.8,15.7
tma_bad_speculation,5.7,5.6,5.6,5.7,5.5,5.5,5.6,5.7,5.6,5.5
tma_frontend_bound,49.0,48.7,49.6,49.0,48.9,49.4,48.6,48.7,48.6,49.1
tma_retiring,29.9,30.0,30.7,30.4,29.9,29.8,30.1,30.0,30.0,29.7
total_uops,"18,721,900,640,706","18,689,031,181,258","18,622,438,865,542","18,687,514,172,270","18,667,972,803,009","18,680,435,616,451","18,720,311,678,003","18,720,826,433,564","18,693,807,586,622","18,686,451,459,324"
