filename,0,1,2,3,4,5,6,7,8,9
datetime,2025-07-31-17-49-51,2025-07-31-17-49-53,2025-07-31-17-49-55,2025-07-31-17-49-57,2025-07-31-17-49-59,2025-07-31-17-50-01,2025-07-31-17-50-03,2025-07-31-17-50-05,2025-07-31-17-50-07,2025-07-31-17-50-09
device_name,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302
time_elapsed,1034.182678377,1034.831331692,1035.561785887,1034.143680810,1035.280326962,1035.072457510,1034.483163892,1034.143637877,1034.670948044,1035.758633237
tma_backend_bound,26.6,26.2,27.0,30.2,26.5,26.6,29.1,28.0,25.5,27.8
tma_bad_speculation,8.2,8.0,8.1,7.5,8.9,9.0,8.3,8.1,8.6,8.1
tma_frontend_bound,44.5,44.3,44.2,42.3,44.0,42.2,42.7,43.2,44.2,43.5
tma_retiring,20.6,21.5,20.7,20.1,20.6,22.2,19.9,20.7,21.7,20.7
total_uops,"4,169,622,997","4,190,179,607","4,194,831,144","4,198,434,275","4,205,231,031","4,204,817,165","4,199,012,186","4,206,966,489","4,086,993,167","4,193,406,875"
