Metric,2025-07-09-22-32-07-turing301,2025-07-09-22-32-09-turing301,2025-07-09-22-32-11-turing301,2025-07-09-22-32-13-turing301,2025-07-09-22-32-15-turing301,2025-07-09-22-32-17-turing301,2025-07-09-22-32-19-turing301,2025-07-09-22-32-21-turing301,2025-07-09-22-32-23-turing301,2025-07-09-22-32-25-turing301
time_elapsed,7575.786652894,7688.840077097,7415.773818209,7421.031977975,7379.700076529,7622.496226526,7260.247444727,7493.970962619,7603.510710172,7471.609865480
tma_backend_bound,12.5,12.9,13.1,12.5,12.0,13.0,11.8,13.0,12.9,13.1
tma_bad_speculation,5.0,5.1,5.2,5.1,5.0,5.1,5.1,5.1,5.1,5.1
tma_frontend_bound,52.6,52.6,52.2,53.7,53.2,52.3,52.8,52.5,52.5,52.4
tma_retiring,29.8,29.5,29.6,28.7,29.8,29.6,30.2,29.3,29.5,29.4
total_uops,"26,789,575,026,938","26,838,642,503,386","26,879,475,760,633","26,440,649,438,893","26,141,506,089,571","26,847,287,482,525","26,798,216,978,207","26,895,478,970,382","26,844,812,238,719","26,890,517,050,236"
