filename,0,1,2,3,4,5,6,7,8,9
datetime,2025-07-20-22-26-22,2025-07-20-22-26-24,2025-07-20-22-26-26,2025-07-20-22-26-28,2025-07-20-22-26-30,2025-07-20-22-26-32,2025-07-20-22-26-34,2025-07-20-22-26-36,2025-07-20-22-26-38,2025-07-20-22-26-40
device_name,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302
time_elapsed,33569.425898520,33382.723828793,33374.322751232,32561.301092680,33314.832174884,32819.860504830,32519.473381315,32834.616246247,33284.016440409,32668.271915796
tma_backend_bound,18.6,18.2,17.3,18.6,17.9,18.4,18.0,19.0,18.0,18.3
tma_bad_speculation,4.5,4.6,4.5,4.7,4.6,4.7,4.6,4.7,4.6,4.8
tma_frontend_bound,46.2,46.5,47.4,46.2,46.6,46.5,46.7,45.9,46.5,46.4
tma_retiring,30.6,30.8,30.9,30.6,30.9,30.4,30.6,30.3,30.9,30.5
total_uops,"132,998,707,742,102","132,989,375,997,887","132,630,263,497,493","133,400,468,914,308","132,910,300,934,909","133,435,680,716,379","133,209,250,379,239","133,710,073,628,419","133,106,161,515,251","133,726,639,592,778"
