filename,0,1,2,3,4,5,6,7,8,9
datetime,2025-07-31-18-32-57,2025-07-31-18-32-59,2025-07-31-18-33-01,2025-07-31-18-33-03,2025-07-31-18-33-05,2025-07-31-18-33-07,2025-07-31-18-33-09,2025-07-31-18-33-11,2025-07-31-18-33-13,2025-07-31-18-33-15
device_name,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302
time_elapsed,904.711198878,905.423427126,905.561790592,905.831366988,904.914658421,906.082378674,904.693362968,905.172881328,904.693527745,906.322578213
tma_backend_bound,26.0,28.5,27.4,28.2,25.5,29.2,25.0,29.8,27.8,28.0
tma_bad_speculation,9.7,8.4,8.2,8.1,8.9,7.4,8.6,7.3,7.6,7.8
tma_frontend_bound,40.6,41.1,43.8,43.2,43.6,43.0,42.2,42.4,43.5,43.4
tma_retiring,23.7,22.1,20.6,20.5,22.0,20.5,24.2,20.5,21.0,20.9
total_uops,"4,129,907,670","4,252,476,761","4,195,120,833","4,205,156,075","4,088,829,663","4,069,309,628","4,229,096,706","4,241,924,234","4,189,291,932","4,152,400,491"
