Metric,2025-07-07-18-45-48-turing301,2025-07-07-18-45-50-turing301,2025-07-07-18-45-52-turing301,2025-07-07-18-45-54-turing301,2025-07-07-18-45-56-turing301,2025-07-07-18-45-58-turing301,2025-07-07-18-46-00-turing301,2025-07-07-18-46-02-turing301,2025-07-07-18-46-04-turing301,2025-07-07-18-46-06-turing301
time_elapsed,901.532570927,901.686061826,901.533010101,903.389509181,902.386157252,901.864492250,902.170426089,903.138286454,902.948525759,902.629575417
tma_backend_bound,24.2,25.7,25.5,24.2,26.0,20.8,20.1,25.1,27.5,22.9
tma_bad_speculation,8.6,8.9,9.6,9.2,8.6,9.3,10.0,8.8,8.1,8.7
tma_frontend_bound,45.4,41.9,41.5,42.8,43.1,45.6,42.7,42.6,43.2,45.1
tma_retiring,21.9,23.5,23.3,23.9,22.3,24.3,27.2,23.5,21.2,23.3
total_uops,"4,020,671,710","3,971,516,601","4,032,371,925","4,003,248,515","4,020,620,520","3,997,048,186","3,937,398,509","3,968,014,702","4,032,808,940","3,968,494,203"
