filename,0,1,2,3,4,5,6,7,8,9
datetime,2025-07-31-19-34-22,2025-07-31-19-34-24,2025-07-31-19-34-26,2025-07-31-19-34-28,2025-07-31-19-34-30,2025-07-31-19-34-32,2025-07-31-19-34-34,2025-07-31-19-34-36,2025-07-31-19-34-38,2025-07-31-19-34-40
device_name,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302
time_elapsed,905.332610232,905.789864665,905.195457486,906.597732118,906.347418620,904.887258961,906.048695118,905.590648568,904.835195271,904.835298582
tma_backend_bound,19.6,26.8,28.5,29.0,25.3,27.8,28.6,27.3,27.0,27.5
tma_bad_speculation,10.2,8.5,8.1,8.8,8.5,8.2,8.3,8.1,8.2,8.8
tma_frontend_bound,43.5,43.9,43.0,40.0,43.9,43.7,40.7,42.6,44.4,40.8
tma_retiring,26.8,20.8,20.4,22.2,22.3,20.3,22.4,21.9,20.4,22.9
total_uops,"4,062,439,513","4,287,347,802","4,244,353,009","4,227,747,276","4,242,636,634","4,112,803,692","4,079,819,111","4,242,911,299","4,185,877,030","4,197,341,022"
