filename,0,1,2,3,4,5,6,7,8,9
datetime,2025-08-01-05-10-45,2025-08-01-05-10-47,2025-08-01-05-10-49,2025-08-01-05-10-51,2025-08-01-05-10-53,2025-08-01-05-10-55,2025-08-01-05-10-57,2025-08-01-05-10-59,2025-08-01-05-11-01,2025-08-01-05-11-03
device_name,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302
time_elapsed,19900.949971481,19111.949951893,20047.088047652,20091.373900761,19951.264951644,19940.552912795,19552.018036149,20183.202051850,19287.721061478,19215.170108622
tma_backend_bound,20.6,18.8,20.3,21.5,21.8,21.1,19.7,20.3,19.4,19.6
tma_bad_speculation,6.9,6.8,6.7,6.7,6.8,6.7,6.7,6.6,6.8,7.0
tma_frontend_bound,46.6,47.8,46.3,45.7,45.6,46.0,46.6,46.9,47.3,46.6
tma_retiring,26.0,26.6,26.6,26.1,25.8,26.2,27.0,26.3,26.5,26.8
total_uops,"72,838,056,148,571","72,443,024,329,818","72,421,777,996,400","72,494,387,740,450","72,924,159,088,607","72,475,830,591,241","72,120,660,963,369","72,351,674,591,967","72,484,883,864,051","72,623,893,817,812"
