filename,0,1,2,3,4,5,6,7,8,9
datetime,2025-07-31-21-43-27,2025-07-31-21-43-29,2025-07-31-21-43-31,2025-07-31-21-43-33,2025-07-31-21-43-35,2025-07-31-21-43-37,2025-07-31-21-43-39,2025-07-31-21-43-41,2025-07-31-21-43-43,2025-07-31-21-43-45
device_name,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302
time_elapsed,1976.356013798,2152.944022909,2167.626955612,2184.432089752,2265.216985098,1954.421942425,2090.357029390,2095.358004874,1874.768029361,1787.228048719
tma_backend_bound,22.0,20.4,20.4,19.6,19.7,18.2,21.9,21.7,19.2,19.7
tma_bad_speculation,6.5,6.5,6.3,6.5,6.4,6.3,6.6,6.4,6.4,6.4
tma_frontend_bound,45.2,46.2,46.7,46.8,46.5,47.9,45.2,45.8,48.0,46.8
tma_retiring,26.4,26.9,26.6,27.2,27.3,27.6,26.3,26.2,26.4,27.1
total_uops,"6,417,255,144,297","6,397,260,216,225","6,366,515,763,257","6,376,964,773,397","6,362,246,930,088","6,313,086,601,447","6,437,843,131,267","6,406,530,712,799","6,385,608,047,884","6,398,933,779,571"
