filename,0,1,2,3,4,5,6,7,8,9
datetime,2025-07-22-09-33-21,2025-07-22-09-33-23,2025-07-22-09-33-25,2025-07-22-09-33-27,2025-07-22-09-33-29,2025-07-22-09-33-31,2025-07-22-09-33-33,2025-07-22-09-33-35,2025-07-22-09-33-37,2025-07-22-09-33-39
device_name,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302
time_elapsed,6921.931286354,6760.555870305,6959.046614770,7099.361963634,7049.326329464,7163.426522083,6832.568579398,7001.579601733,7023.931673468,7101.849821274
tma_backend_bound,16.5,14.3,15.3,16.2,14.5,16.4,15.9,15.9,16.2,16.3
tma_bad_speculation,5.4,5.2,5.1,5.1,5.1,5.2,5.2,5.1,5.3,5.1
tma_frontend_bound,45.8,47.3,46.4,46.1,47.2,46.1,46.3,46.8,46.6,46.1
tma_retiring,32.3,33.3,33.2,32.6,33.3,32.4,32.6,32.2,32.0,32.5
total_uops,"30,019,116,432,279","29,791,268,217,147","29,771,187,102,502","29,827,410,303,715","29,722,332,131,203","29,911,636,541,649","29,897,143,679,715","29,884,564,766,161","29,983,223,738,231","29,854,050,372,785"
