filename,0,1,2,3,4,5,6,7,8,9
datetime,2025-08-01-10-52-32,2025-08-01-10-52-34,2025-08-01-10-52-36,2025-08-01-10-52-38,2025-08-01-10-52-40,2025-08-01-10-52-42,2025-08-01-10-52-44,2025-08-01-10-52-46,2025-08-01-10-52-48,2025-08-01-10-52-50
device_name,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302
time_elapsed,15617.616129105,15599.296999519,15432.759980191,15853.873914200,16174.548963659,15660.074990653,15575.201990600,16185.780029974,16500.206987593,15624.772013755
tma_backend_bound,21.2,23.3,22.9,23.3,24.0,20.7,21.3,21.9,24.4,20.7
tma_bad_speculation,6.8,6.9,6.8,6.8,6.7,6.8,7.0,6.8,6.7,6.8
tma_frontend_bound,45.7,44.6,44.7,44.8,44.4,46.5,45.6,45.6,44.0,46.0
tma_retiring,26.3,25.3,25.5,25.1,24.8,26.1,26.1,25.7,24.9,26.5
total_uops,"56,406,806,601,873","56,802,243,595,410","56,712,799,010,243","56,843,186,688,131","56,910,904,688,790","56,375,236,422,074","56,732,416,433,875","56,592,931,039,079","56,764,009,519,988","56,307,613,876,305"
