filename,0,1,2,3,4,5,6,7,8,9
datetime,2025-07-31-18-12-29,2025-07-31-18-12-31,2025-07-31-18-12-33,2025-07-31-18-12-35,2025-07-31-18-12-37,2025-07-31-18-12-39,2025-07-31-18-12-41,2025-07-31-18-12-43,2025-07-31-18-12-45,2025-07-31-18-12-47
device_name,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302
time_elapsed,906.636684513,904.636681931,905.929700480,904.960740362,904.693583961,906.153196774,906.367582694,905.526591955,905.715647649,904.636530537
tma_backend_bound,27.1,25.8,24.3,29.1,22.7,26.7,28.6,27.3,27.7,28.6
tma_bad_speculation,8.2,9.1,9.5,8.3,9.0,8.1,8.0,8.6,8.5,8.4
tma_frontend_bound,43.6,42.7,42.1,42.1,43.4,44.8,43.3,41.6,42.8,40.7
tma_retiring,21.1,22.4,24.1,20.5,24.9,20.4,20.1,22.5,20.9,22.3
total_uops,"4,367,266,115","4,068,448,119","4,046,772,544","4,173,882,141","4,154,074,124","4,178,784,561","4,098,027,451","4,141,965,734","4,073,817,521","4,118,067,253"
