filename,0,1,2,3,4,5,6,7,8,9
datetime,2025-07-15-17-54-07,2025-07-15-17-54-09,2025-07-15-17-54-11,2025-07-15-17-54-13,2025-07-15-17-54-15,2025-07-15-17-54-17,2025-07-15-17-54-19,2025-07-15-17-54-21,2025-07-15-17-54-23,2025-07-15-17-54-25
device_name,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302
time_elapsed,911.726136437,908.297827065,909.673028907,906.854389780,911.030896173,907.582734046,908.969148622,905.925309250,910.308173312,906.199515270
tma_backend_bound,32.4,32.2,28.5,31.2,32.4,32.8,32.4,32.2,31.6,28.8
tma_bad_speculation,6.8,7.1,7.7,6.2,6.5,5.8,7.0,6.7,6.6,7.6
tma_frontend_bound,36.6,34.1,35.5,37.5,36.5,36.8,36.2,36.8,36.1,37.8
tma_retiring,24.2,26.6,28.3,25.0,24.6,24.6,24.3,24.2,25.7,25.9
total_uops,"5,581,151,573","5,435,705,578","5,574,259,061","5,563,603,922","5,605,524,712","5,580,006,910","5,603,171,929","5,654,532,257","5,520,958,706","5,784,459,523"
