filename,0,1,2,3,4,5,6,7,8,9
datetime,2025-07-21-18-29-12,2025-07-21-18-29-14,2025-07-21-18-29-16,2025-07-21-18-29-18,2025-07-21-18-29-20,2025-07-21-18-29-22,2025-07-21-18-29-24,2025-07-21-18-29-26,2025-07-21-18-29-28,2025-07-21-18-29-30
device_name,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302
time_elapsed,14986.928609949,14413.332558001,14799.521436544,14863.082013187,14980.832111394,15230.107860325,14607.002058210,15063.553543304,14406.194644045,15067.206018159
tma_backend_bound,17.1,14.6,15.1,17.0,15.2,17.4,15.7,16.1,14.7,16.6
tma_bad_speculation,4.2,4.2,4.0,4.2,4.1,4.1,4.2,4.1,4.3,4.1
tma_frontend_bound,48.2,49.4,49.0,48.0,49.1,47.6,48.8,48.5,49.3,48.0
tma_retiring,30.5,31.8,32.0,30.7,31.6,30.9,31.2,31.3,31.8,31.3
total_uops,"57,600,464,911,738","57,264,792,635,178","57,015,597,833,539","57,567,684,377,639","57,116,688,926,554","57,317,178,886,083","57,517,963,715,580","57,223,928,738,860","57,345,811,270,572","57,190,590,964,025"
