filename,0,1,2,3,4,5,6,7,8,9
datetime,2025-08-02-11-39-45,2025-08-02-11-39-47,2025-08-02-11-39-49,2025-08-02-11-39-51,2025-08-02-11-39-53,2025-08-02-11-39-55,2025-08-02-11-39-57,2025-08-02-11-39-59,2025-08-02-11-40-01,2025-08-02-11-40-03
device_name,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302
time_elapsed,34910.083027440,33926.080015803,35143.944079456,34270.394902272,33188.722006732,34220.944064797,34361.201847543,34375.881033485,32488.845023709,34514.154933356
tma_backend_bound,23.2,23.3,21.5,19.5,19.5,21.3,20.2,23.3,19.7,22.0
tma_bad_speculation,6.2,6.1,6.2,6.2,6.2,6.1,6.1,6.2,6.3,6.0
tma_frontend_bound,45.7,45.8,46.6,47.5,48.4,46.7,47.4,45.7,47.6,46.5
tma_retiring,24.9,24.7,25.7,26.8,25.9,25.8,26.3,24.8,26.4,25.4
total_uops,"124,015,614,906,949","119,650,127,490,737","123,099,614,081,114","123,640,039,942,907","120,281,223,675,302","120,537,389,758,374","122,172,208,790,760","121,976,128,651,273","120,393,573,640,313","120,474,416,436,472"
