filename,0,1,2,3,4,5,6,7,8,9
datetime,2025-07-22-11-38-14,2025-07-22-11-38-16,2025-07-22-11-38-18,2025-07-22-11-38-20,2025-07-22-11-38-22,2025-07-22-11-38-24,2025-07-22-11-38-26,2025-07-22-11-38-28,2025-07-22-11-38-30,2025-07-22-11-38-32
device_name,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302,turing302
time_elapsed,6515.036059149,6356.896658221,6388.148287621,6101.862324908,6519.849800369,6536.861786832,6648.609031393,6435.505103323,6531.299915738,6362.931358821
tma_backend_bound,16.5,17.0,17.0,14.5,17.3,16.9,16.7,15.5,17.3,15.8
tma_bad_speculation,5.4,5.1,5.3,5.1,5.0,5.0,5.0,5.0,5.1,5.0
tma_frontend_bound,46.5,45.7,45.7,46.9,45.2,45.4,46.3,46.5,45.3,46.8
tma_retiring,31.6,32.1,32.1,33.4,32.5,32.7,32.0,33.0,32.3,32.4
total_uops,"27,508,114,682,076","27,323,180,784,316","27,408,507,182,894","27,157,550,548,974","27,250,415,749,776","27,216,481,165,415","27,232,051,806,850","27,132,487,514,725","27,254,057,494,322","27,233,647,029,100"
